left_price_bin,right_price_bin,rate_series,left_price_mean,right_price_mean,left_kind_rate,right_kind_rate,midpoint_arc_elasticity
0,1,raw,4.896955447734258,5.598170626137604,0.024741259015682006,0.02401414579308084,-0.22321101764908297
0,1,chooser_fe_piecewise_adjusted,4.896955447734258,5.598170626137604,0.025017727662359036,0.026016609282961126,0.29294621918990693
1,2,raw,5.598170626137604,5.659154186532965,0.02401414579308084,0.02293033181864874,-4.261795993236783
1,2,chooser_fe_piecewise_adjusted,5.598170626137604,5.659154186532965,0.026016609282961126,0.025739477894497754,-0.9884317859121097
2,3,raw,5.659154186532965,5.67500990777863,0.02293033181864874,0.020655443291020606,-37.30944947916529
2,3,chooser_fe_piecewise_adjusted,5.659154186532965,5.67500990777863,0.025739477894497754,0.02513307661248793,-8.52079386502376
3,4,raw,5.67500990777863,5.676855632565125,0.020655443291020606,0.01857902810111183,-325.49677164351766
3,4,chooser_fe_piecewise_adjusted,5.67500990777863,5.676855632565125,0.02513307661248793,0.024964461545067117,-20.70047398363195
4,5,raw,5.676855632565125,5.677201123690675,0.01857902810111183,0.019663991246598015,932.3457111804664
4,5,chooser_fe_piecewise_adjusted,5.676855632565125,5.677201123690675,0.024964461545067117,0.02555184499413781,382.12396868004737
5,6,raw,5.677201123690675,5.677626690093965,0.019663991246598015,0.021015527344538997,886.4720823872843
5,6,chooser_fe_piecewise_adjusted,5.677201123690675,5.677626690093965,0.02555184499413781,0.025843339742803485,151.32877686314367
6,7,raw,5.677626690093965,5.678328706544694,0.021015527344538997,0.021922747534066016,341.7783142786199
6,7,chooser_fe_piecewise_adjusted,5.677626690093965,5.678328706544694,0.025843339742803485,0.026138757335708862,91.93035727041493
7,8,raw,5.678328706544694,5.679591487813588,0.021922747534066016,0.022844921613052526,185.27597568375592
7,8,chooser_fe_piecewise_adjusted,5.678328706544694,5.679591487813588,0.026138757335708862,0.026348528919382972,35.947046992026834
8,9,raw,5.679591487813588,5.68190798131163,0.022844921613052526,0.02404300062557277,125.32249695302768
8,9,chooser_fe_piecewise_adjusted,5.679591487813588,5.68190798131163,0.026348528919382972,0.026663060651767503,29.100349638374265
9,10,raw,5.68190798131163,5.6862584266808245,0.02404300062557277,0.02526182875003174,64.59660741261298
9,10,chooser_fe_piecewise_adjusted,5.68190798131163,5.6862584266808245,0.026663060651767503,0.027095420519459252,21.016243319306497
10,11,raw,5.6862584266808245,5.696538791862476,0.02526182875003174,0.027124665428603416,39.372763848424185
10,11,chooser_fe_piecewise_adjusted,5.6862584266808245,5.696538791862476,0.027095420519459252,0.02809338941460514,20.02195279542379
11,12,raw,5.696538791862476,5.722538449651989,0.027124665428603416,0.027133930282107928,0.07499518591952734
11,12,chooser_fe_piecewise_adjusted,5.696538791862476,5.722538449651989,0.02809338941460514,0.02793959348865781,-1.2054923740600525
12,13,raw,5.722538449651989,5.768349584511559,0.027133930282107928,0.029856637815714786,11.983413609374226
12,13,chooser_fe_piecewise_adjusted,5.722538449651989,5.768349584511559,0.02793959348865781,0.028570987764520515,2.8025502508563775
13,14,raw,5.768349584511559,5.889641597413223,0.029856637815714786,0.03187651055048095,3.1448294626671704
13,14,chooser_fe_piecewise_adjusted,5.768349584511559,5.889641597413223,0.028570987764520515,0.028868642448287622,0.49807254675306234
14,15,raw,5.889641597413223,6.332489518460976,0.03187651055048095,0.033917085157437556,0.8559752043318672
14,15,chooser_fe_piecewise_adjusted,5.889641597413223,6.332489518460976,0.028868642448287622,0.029196162805842342,0.15567456248975597
15,16,raw,6.332489518460976,7.4964950241996675,0.033917085157437556,0.03619203929797347,0.3855079686012072
15,16,chooser_fe_piecewise_adjusted,6.332489518460976,7.4964950241996675,0.029196162805842342,0.03050699149735729,0.26084584213286344
16,17,raw,7.4964950241996675,10.002262790385478,0.03619203929797347,0.03780440370403286,0.15216639814069421
16,17,chooser_fe_piecewise_adjusted,7.4964950241996675,10.002262790385478,0.03050699149735729,0.03134538619088161,0.09465826150791377
17,18,raw,10.002262790385478,16.427400939416923,0.03780440370403286,0.04235312313164959,0.2334285692381136
17,18,chooser_fe_piecewise_adjusted,10.002262790385478,16.427400939416923,0.03134538619088161,0.034305164733841896,0.1854513546424453
18,19,raw,16.427400939416923,74.62931584172985,0.04235312313164959,0.05035739554274146,0.13507269442107664
18,19,chooser_fe_piecewise_adjusted,16.427400939416923,74.62931584172985,0.034305164733841896,0.038949398428669346,0.09918684941758982
