analysis,epistemic_label,sample_definition,arm,horizon_days_each_side,minimum_fair_opportunities_each_side,mean,standard_error,t_value,p_value_two_sided,rows,clusters,weight_sum,mean_change_percentage_points,standard_error_percentage_points,weighted_pre_kind_rate,weighted_post_kind_rate,causal_claim,model,outcome_mean,exposure_means,numeric_controls,fixed_effects,matrix_rank,smallest_singular_value,absorption_iterations,absorption_last_adjustment,cluster_correction,sample_specification_sha256,term,coefficient,t_cluster,effect_percentage_points
C10_decay_clock,X,common_90d_endpoint_cohort,claimed_against,7,1,-0.005217814354726353,0.0008329829153017783,-6.264011252662979,3.7519838226290526e-10,54660,52346,1684.5721379259894,-0.5217814354726352,0.08329829153017783,0.03405452206630538,0.028836707711579024,False,,,,,,,,,,,,,,,
C10_decay_clock,X,common_90d_endpoint_cohort,mercy_received,7,1,0.007378943138436809,0.004811128663646397,1.5337239251556916,0.1250975852703581,1659,1645,1659.0,0.7378943138436809,0.4811128663646397,0.03561382358850713,0.04299276672694394,False,,,,,,,,,,,,,,,
C10_decay_clock,X,common_90d_endpoint_cohort,pooled,7,1,0.0010323934526998342,0.0024243402813071517,0.425845109558296,0.6702207143120584,56319,53934,3343.5721379259894,0.10323934526998342,0.24243402813071518,0.03482820994221206,0.03586060339491189,False,,,,,,,,,,,,,,,
,X,common_90d_endpoint_cohort,mercy_minus_claim_adjusted,7,1,,0.004838369234602077,,0.0026740195692818527,56319,53934,,,0.4838369234602077,,,False,C10_decay_mercy_minus_claim,0.0010323934526998342,"{""mercy_minus_claim"":0.4961759254965781}","[""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",27,1.427530868009791,8,3.8733461834671923e-10,1.0004804274414505,10cb471e60cd4231878fcffc60df1eeaea5ec806506569387d0cd3259e485cdc,mercy_minus_claim,0.014529239909785358,3.0029208614088523,1.4529239909785359
C10_decay_clock,X,common_90d_endpoint_cohort,claimed_against,7,4,-0.013594326402671894,0.007747797257566426,-1.7546053350061275,0.07932683828517537,230,229,7.287142313773822,-1.3594326402671895,0.7747797257566427,0.030023273451563227,0.01642894704889133,False,,,,,,,,,,,,,,,
C10_decay_clock,X,common_90d_endpoint_cohort,mercy_received,7,4,0.0,0.0,nan,nan,9,9,9.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
C10_decay_clock,X,common_90d_endpoint_cohort,pooled,7,4,-0.006082331034363598,0.0036568290762401937,-1.6632801007525375,0.09625638008686019,239,238,16.28714231377382,-0.6082331034363597,0.3656829076240194,0.013432919179558344,0.007350588145194746,False,,,,,,,,,,,,,,,
C10_decay_clock,X,horizon_specific_7d_endpoint_cohort,claimed_against,7,1,-0.004473254077806614,0.0006471099042910918,-6.912665141027411,4.756317899990267e-12,83551,79015,2565.933504191741,-0.4473254077806614,0.06471099042910917,0.031051572874296978,0.026578318796490367,False,,,,,,,,,,,,,,,
C10_decay_clock,X,horizon_specific_7d_endpoint_cohort,mercy_received,7,1,0.00911905713144227,0.0037102543421504808,2.457798385368056,0.013979162851480114,2503,2472,2503.0,0.911905713144227,0.3710254342150481,0.030563324011186575,0.03968238114262884,False,,,,,,,,,,,,,,,
C10_decay_clock,X,horizon_specific_7d_endpoint_cohort,pooled,7,1,0.002238523642026546,0.001861963111133562,1.2022384485714834,0.22927115672695256,86054,81372,5068.933504191741,0.2238523642026546,0.18619631111335622,0.030810479377340525,0.03304900301936707,False,,,,,,,,,,,,,,,
,X,horizon_specific_7d_endpoint_cohort,mercy_minus_claim_adjusted,7,1,,0.003692836574712751,,6.024607240650129e-05,86054,81372,,,0.3692836574712751,,,False,C10_decay_mercy_minus_claim,0.002238523642026546,"{""mercy_minus_claim"":0.49379223419091034}","[""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",27,1.7940506636122497,8,2.463790827708549e-10,1.0003145237998148,a3c3ef65e8f4e46ba7c04e9589ca67ade2513457ba0a242e3eed6450b0360db0,mercy_minus_claim,0.014815087661012992,4.011844922264233,1.4815087661012991
C10_decay_clock,X,horizon_specific_7d_endpoint_cohort,claimed_against,7,4,-0.011579320409443612,0.005885243965534175,-1.967517485639631,0.04912358207824115,318,317,10.04451439315466,-1.1579320409443612,0.5885243965534175,0.02411687698157209,0.012537556572128478,False,,,,,,,,,,,,,,,
C10_decay_clock,X,horizon_specific_7d_endpoint_cohort,mercy_received,7,4,0.0,0.0,nan,nan,13,13,13.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,
C10_decay_clock,X,horizon_specific_7d_endpoint_cohort,pooled,7,4,-0.005047129591507261,0.002695542990647062,-1.8723981064370643,0.06115154681981983,331,330,23.04451439315466,-0.5047129591507261,0.26955429906470624,0.01051192981663779,0.0054648002251305285,False,,,,,,,,,,,,,,,
C10_decay_clock,X,common_90d_endpoint_cohort,claimed_against,14,1,-0.004990634339751817,0.0005982004430772973,-8.342745976714271,7.258497752227443e-17,103849,96436,3188.548032186337,-0.49906343397518166,0.05982004430772973,0.03451236463810216,0.029521730298350347,False,,,,,,,,,,,,,,,
C10_decay_clock,X,common_90d_endpoint_cohort,mercy_received,14,1,0.0037592541925980305,0.0036199982606548928,1.0384685079704832,0.2990519893458961,3173,3129,3173.0,0.37592541925980305,0.3619998260654893,0.03704170606156109,0.040800960254159115,False,,,,,,,,,,,,,,,
C10_decay_clock,X,common_90d_endpoint_cohort,pooled,14,1,-0.0006263827184991284,0.001830767430340249,-0.3421421575009748,0.7322439126824539,107022,99363,6361.548032186337,-0.06263827184991284,0.1830767430340249,0.0357739444133439,0.03514756169484477,False,,,,,,,,,,,,,,,
