model,epistemic_label,analysis_role,status,reference_side,term,coefficient_probability_units,coefficient_percentage_points,standard_error_probability_units,standard_error_percentage_points,t_cluster,p_value_two_sided,rows_raw,rows_identifying,chooser_clusters,outcome_mean,elasticity_or_response_estimate,elasticity_or_response_se,elasticity_or_response_ci95_low,elasticity_or_response_ci95_high,causal_claim
V_certified_stage08_full24_piecewise_reproduction_v103,V,validation,ESTIMATED,,positive_draw_payoff,1.575630202780285e-06,0.0001575630202780285,1.2721126520584739e-05,0.0012721126520584738,0.12385932961445459,0.9014266551804291,17328130,16444544,1801942,0.028114401265456803,,,,,False
V_certified_stage08_full24_piecewise_reproduction_v103,V,validation,ESTIMATED,,negative_draw_payoff,-6.719576971106722e-05,-0.006719576971106722,1.122013116317143e-05,0.001122013116317143,-5.988857771255677,2.113198561163595e-09,17328130,16444544,1801942,0.028114401265456803,,,,,False
V_certified_stage08_full24_piecewise_reproduction_v103,V,validation,ESTIMATED,,draw_nonnegative,0.004394773075717434,0.4394773075717434,7.457004125518846e-05,0.007457004125518846,58.93483497853977,0.0,17328130,16444544,1801942,0.028114401265456803,,,,,False
V_certified_stage08_full24_piecewise_reproduction_v103,V,validation,ESTIMATED,,win_premium,0.00015331265612336816,0.015331265612336817,6.028314853512206e-06,0.0006028314853512205,25.43209169541724,1.114154541417926e-142,17328130,16444544,1801942,0.028114401265456803,,,,,False
X_primary_reference_piecewise_chooser_fe_premium20_fe,X,exploratory_reference_schedule,ESTIMATED,,positive_draw_payoff,0.00012000387750474523,0.012000387750474522,1.09999062914816e-05,0.0010999906291481601,10.909536347384797,1.0378431745261391e-27,17328130,16444516,1801928,0.028114401265456803,,,,,False
X_primary_reference_piecewise_chooser_fe_premium20_fe,X,exploratory_reference_schedule,ESTIMATED,,negative_draw_payoff,5.803740905190114e-05,0.005803740905190115,9.340703275972677e-06,0.0009340703275972677,6.213387508111109,5.185435876501668e-10,17328130,16444516,1801928,0.028114401265456803,,,,,False
X_primary_reference_piecewise_chooser_fe_premium20_fe,X,exploratory_reference_schedule,ESTIMATED,,draw_nonnegative,0.004408303246889347,0.44083032468893474,7.45659620995262e-05,0.007456596209952621,59.119511406630906,0.0,17328130,16444516,1801928,0.028114401265456803,,,,,False
X_reference_piecewise_chooser_fe_level_premium,X,exploratory_reference_schedule,ESTIMATED,,positive_draw_payoff,1.575630202780285e-06,0.0001575630202780285,1.2721126520584739e-05,0.0012721126520584738,0.12385932961445459,0.9014266551804291,17328130,16444544,1801942,0.028114401265456803,,,,,False
X_reference_piecewise_chooser_fe_level_premium,X,exploratory_reference_schedule,ESTIMATED,,negative_draw_payoff,-6.719576971106722e-05,-0.006719576971106722,1.122013116317143e-05,0.001122013116317143,-5.988857771255677,2.113198561163595e-09,17328130,16444544,1801942,0.028114401265456803,,,,,False
X_reference_piecewise_chooser_fe_level_premium,X,exploratory_reference_schedule,ESTIMATED,,draw_nonnegative,0.004394773075717434,0.4394773075717434,7.457004125518846e-05,0.007457004125518846,58.93483497853977,0.0,17328130,16444544,1801942,0.028114401265456803,,,,,False
